"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,2.5,1e-04,"Induced","Detected",999
1,2.5,1e-04,"Induced","Not Detected",1
1,2.5,1e-04,"Not Induced","Detected",1000
1,2.5,1e-04,"Not Induced","Not Detected",0
1,2.5,0.001,"Induced","Detected",995
1,2.5,0.001,"Induced","Not Detected",5
1,2.5,0.001,"Not Induced","Detected",997
1,2.5,0.001,"Not Induced","Not Detected",3
1,2.5,0.01,"Induced","Detected",982
1,2.5,0.01,"Induced","Not Detected",18
1,2.5,0.01,"Not Induced","Detected",984
1,2.5,0.01,"Not Induced","Not Detected",16
1,2.5,0.05,"Induced","Detected",925
1,2.5,0.05,"Induced","Not Detected",75
1,2.5,0.05,"Not Induced","Detected",895
1,2.5,0.05,"Not Induced","Not Detected",105
1,2.5,0.1,"Induced","Detected",853
1,2.5,0.1,"Induced","Not Detected",147
1,2.5,0.1,"Not Induced","Detected",786
1,2.5,0.1,"Not Induced","Not Detected",214
1,2.5,0.5,"Induced","Detected",344
1,2.5,0.5,"Induced","Not Detected",656
1,2.5,0.5,"Not Induced","Detected",182
1,2.5,0.5,"Not Induced","Not Detected",818
