"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,1.75,1e-04,"Induced","Detected",1000
1,1.75,1e-04,"Induced","Not Detected",0
1,1.75,1e-04,"Not Induced","Detected",1000
1,1.75,1e-04,"Not Induced","Not Detected",0
1,1.75,0.001,"Induced","Detected",1000
1,1.75,0.001,"Induced","Not Detected",0
1,1.75,0.001,"Not Induced","Detected",1000
1,1.75,0.001,"Not Induced","Not Detected",0
1,1.75,0.01,"Induced","Detected",991
1,1.75,0.01,"Induced","Not Detected",9
1,1.75,0.01,"Not Induced","Detected",976
1,1.75,0.01,"Not Induced","Not Detected",24
1,1.75,0.05,"Induced","Detected",947
1,1.75,0.05,"Induced","Not Detected",53
1,1.75,0.05,"Not Induced","Detected",886
1,1.75,0.05,"Not Induced","Not Detected",114
1,1.75,0.1,"Induced","Detected",878
1,1.75,0.1,"Induced","Not Detected",122
1,1.75,0.1,"Not Induced","Detected",772
1,1.75,0.1,"Not Induced","Not Detected",228
1,1.75,0.5,"Induced","Detected",433
1,1.75,0.5,"Induced","Not Detected",567
1,1.75,0.5,"Not Induced","Detected",183
1,1.75,0.5,"Not Induced","Not Detected",817
