"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
0.5,2.5,1e-04,1,"ASC2_male",0.9,0.344059427738799,1
0.5,2.5,1e-04,1,"ASC2_age",0.3,0.125631877856691,1
0.5,2.5,1e-04,1,"ASC2_income",0,0.0352577007724913,1
0.5,2.5,1e-04,1,"ASC2_child",0,-0.200433287297662,1
0.5,2.5,1e-04,1,"ASC3_male",-1.1,-0.410913058990128,1
0.5,2.5,1e-04,1,"ASC3_age",0,-0.00793939689657632,1
0.5,2.5,1e-04,1,"ASC3_income",0.8,0.397962498465413,1
0.5,2.5,1e-04,1,"ASC3_child",0,-0.136246321652011,1
0.5,2.5,1e-04,1,"prot25_male",1.2,0.421600201440885,1
0.5,2.5,1e-04,1,"prot25_age",0.7,0.249139338155477,1
0.5,2.5,1e-04,1,"prot25_income",0,0.00514540410106508,1
0.5,2.5,1e-04,1,"prot25_child",1.1,0.473783612714571,1
0.5,2.5,1e-04,1,"prot50_male",0,-0.104869244225364,1
0.5,2.5,1e-04,1,"prot50_age",0,-0.0471440402500382,1
0.5,2.5,1e-04,1,"prot50_income",-1.2,-0.436549436543922,1
0.5,2.5,1e-04,1,"prot50_child",1.1,0.509363446851202,1
0.5,2.5,1e-04,1,"invasive_male",0,-0.0740429986274023,1
0.5,2.5,1e-04,1,"invasive_age",-0.6,-0.179786862079849,1
0.5,2.5,1e-04,1,"invasive_income",0,0.0225613735093565,1
0.5,2.5,1e-04,1,"invasive_child",0,-0.106759464702295,1
0.5,2.5,1e-04,2,"ASC2_male",0,-0.0333606937579115,1
0.5,2.5,1e-04,2,"ASC2_age",0.1,0.0339498876824106,1
0.5,2.5,1e-04,2,"ASC2_income",0.7,0.243305815735476,1
0.5,2.5,1e-04,2,"ASC2_child",-0.4,-0.0895846552029005,1
0.5,2.5,1e-04,2,"ASC3_male",0,-0.0227102998931666,1
0.5,2.5,1e-04,2,"ASC3_age",0.4,0.160929868343772,1
0.5,2.5,1e-04,2,"ASC3_income",-0.8,-0.293618271096547,1
0.5,2.5,1e-04,2,"ASC3_child",0,4.85209020826067e-08,0
0.5,2.5,1e-04,2,"prot25_male",0.5,0.237177280682966,1
0.5,2.5,1e-04,2,"prot25_age",0.8,0.350141918902475,1
0.5,2.5,1e-04,2,"prot25_income",0,-0.0265317691462093,1
0.5,2.5,1e-04,2,"prot25_child",0,0.0706173866745889,1
0.5,2.5,1e-04,2,"prot50_male",0,-2.13228987444652e-08,0
0.5,2.5,1e-04,2,"prot50_age",0,-3.75186062739187e-09,0
0.5,2.5,1e-04,2,"prot50_income",0,3.23073638625337e-08,0
0.5,2.5,1e-04,2,"prot50_child",0,-0.0778804186695747,1
0.5,2.5,1e-04,2,"invasive_male",1,0.297527175700547,1
0.5,2.5,1e-04,2,"invasive_age",-0.1,-0.0051041594338056,1
0.5,2.5,1e-04,2,"invasive_income",0,0.0410688706892116,1
0.5,2.5,1e-04,2,"invasive_child",-0.6,-0.293026624242126,1
0.5,2.5,1e-04,3,"ASC2_male",-0.9,-0.182705514297103,1
0.5,2.5,1e-04,3,"ASC2_age",-0.4,-0.243065547045641,1
0.5,2.5,1e-04,3,"ASC2_income",0,-0.0257969613468103,1
0.5,2.5,1e-04,3,"ASC2_child",0,-0.179179367583563,1
0.5,2.5,1e-04,3,"ASC3_male",-0.7,-0.250214797707973,1
0.5,2.5,1e-04,3,"ASC3_age",0,-0.0278797640578909,1
0.5,2.5,1e-04,3,"ASC3_income",0,0.0451943594321379,1
0.5,2.5,1e-04,3,"ASC3_child",1,0.190622644742019,1
0.5,2.5,1e-04,3,"prot25_male",0,-0.066450291709035,1
0.5,2.5,1e-04,3,"prot25_age",0,0.0892337726795934,1
0.5,2.5,1e-04,3,"prot25_income",0,0.0336522361337721,1
0.5,2.5,1e-04,3,"prot25_child",0,0.13203163790557,1
0.5,2.5,1e-04,3,"prot50_male",0.7,0.189580158185003,1
0.5,2.5,1e-04,3,"prot50_age",-0.2,-0.0420187432587907,1
0.5,2.5,1e-04,3,"prot50_income",-1,-0.382966993578996,1
0.5,2.5,1e-04,3,"prot50_child",-0.8,-0.142907399449684,1
0.5,2.5,1e-04,3,"invasive_male",0,0.0316229835024077,1
0.5,2.5,1e-04,3,"invasive_age",0,0.00240015080223969,1
0.5,2.5,1e-04,3,"invasive_income",-1.2,-0.477316142678079,1
0.5,2.5,1e-04,3,"invasive_child",1,0.222392065111562,1
0.5,2.5,1e-04,4,"ASC2_male",0,-0.155793706825991,1
0.5,2.5,1e-04,4,"ASC2_age",-0.1,-0.0980326145696723,1
0.5,2.5,1e-04,4,"ASC2_income",0,-0.044858297252582,1
0.5,2.5,1e-04,4,"ASC2_child",-0.6,-0.150421627584891,1
0.5,2.5,1e-04,4,"ASC3_male",0,-0.195135228184363,1
0.5,2.5,1e-04,4,"ASC3_age",1,0.319458731607575,1
0.5,2.5,1e-04,4,"ASC3_income",0,-0.0650950662269296,1
0.5,2.5,1e-04,4,"ASC3_child",0,-0.0480917757264257,1
0.5,2.5,1e-04,4,"prot25_male",0,3.0565594120662e-08,0
0.5,2.5,1e-04,4,"prot25_age",-0.5,-0.158800992787219,1
0.5,2.5,1e-04,4,"prot25_income",0,0.0607555292559608,1
0.5,2.5,1e-04,4,"prot25_child",0,0.0564225589216789,1
0.5,2.5,1e-04,4,"prot50_male",0.1,0.128531460535083,1
0.5,2.5,1e-04,4,"prot50_age",1,0.374615983880475,1
0.5,2.5,1e-04,4,"prot50_income",0,-0.00543110552358225,1
0.5,2.5,1e-04,4,"prot50_child",-1,-0.462288298578385,1
0.5,2.5,1e-04,4,"invasive_male",-1,-0.506389131566479,1
0.5,2.5,1e-04,4,"invasive_age",-0.9,-0.391707759770209,1
0.5,2.5,1e-04,4,"invasive_income",-0.3,-0.185852841183445,1
0.5,2.5,1e-04,4,"invasive_child",0,0.0522865359402537,1
0.5,2.5,1e-04,5,"ASC2_male",0,-0.0189615093375699,1
0.5,2.5,1e-04,5,"ASC2_age",0.7,0.218722088288695,1
0.5,2.5,1e-04,5,"ASC2_income",-0.4,-0.18072208404289,1
0.5,2.5,1e-04,5,"ASC2_child",-0.3,-0.0144558067492162,1
0.5,2.5,1e-04,5,"ASC3_male",0,-2.8582923618775e-08,0
0.5,2.5,1e-04,5,"ASC3_age",0,-0.0617766569725761,1
0.5,2.5,1e-04,5,"ASC3_income",0.9,0.304672349789229,1
0.5,2.5,1e-04,5,"ASC3_child",-0.6,-0.21359085994518,1
0.5,2.5,1e-04,5,"prot25_male",0.9,0.393207755262614,1
0.5,2.5,1e-04,5,"prot25_age",0,0.0125501083378389,1
0.5,2.5,1e-04,5,"prot25_income",-0.3,-0.072076148077317,1
0.5,2.5,1e-04,5,"prot25_child",0,-1.18540172136549e-08,0
0.5,2.5,1e-04,5,"prot50_male",0.4,0.184012594264382,1
0.5,2.5,1e-04,5,"prot50_age",0,0.0551876163360329,1
0.5,2.5,1e-04,5,"prot50_income",0.5,0.246405124397775,1
0.5,2.5,1e-04,5,"prot50_child",0,0.00448620031403348,1
0.5,2.5,1e-04,5,"invasive_male",0.7,0.216047522582325,1
0.5,2.5,1e-04,5,"invasive_age",0,-0.0223309316167543,1
0.5,2.5,1e-04,5,"invasive_income",0,0.0160222530101575,1
0.5,2.5,1e-04,5,"invasive_child",0,-5.01517684224438e-09,0
0.5,2.5,1e-04,6,"ASC2_male",0.4,0.023842605511551,1
0.5,2.5,1e-04,6,"ASC2_age",0.7,0.258397774658257,1
0.5,2.5,1e-04,6,"ASC2_income",0,-3.27372316600675e-08,0
0.5,2.5,1e-04,6,"ASC2_child",0,-0.113998712801701,1
0.5,2.5,1e-04,6,"ASC3_male",0,-0.0155566220534042,1
0.5,2.5,1e-04,6,"ASC3_age",0,-0.0945443078037148,1
0.5,2.5,1e-04,6,"ASC3_income",0,-0.0343499347116011,1
0.5,2.5,1e-04,6,"ASC3_child",1.2,0.503305754384864,1
0.5,2.5,1e-04,6,"prot25_male",-0.4,-0.0802648883006957,1
0.5,2.5,1e-04,6,"prot25_age",-0.3,-0.11789385966305,1
0.5,2.5,1e-04,6,"prot25_income",0,0.000743436334213418,1
0.5,2.5,1e-04,6,"prot25_child",0,0.0379693430980943,1
0.5,2.5,1e-04,6,"prot50_male",0,0.0526211697251183,1
0.5,2.5,1e-04,6,"prot50_age",-1.1,-0.34622272713453,1
0.5,2.5,1e-04,6,"prot50_income",-0.2,-0.0806118382019109,1
0.5,2.5,1e-04,6,"prot50_child",-0.2,1.54142733363013e-08,0
0.5,2.5,1e-04,6,"invasive_male",0,-2.1307478010832e-08,0
0.5,2.5,1e-04,6,"invasive_age",1,0.361622938611053,1
0.5,2.5,1e-04,6,"invasive_income",0,4.08793910616285e-07,0
0.5,2.5,1e-04,6,"invasive_child",0.9,0.332873558796003,1
0.5,2.5,1e-04,7,"ASC2_male",0.8,0.314698521790283,1
0.5,2.5,1e-04,7,"ASC2_age",0,-1.70412311090594e-08,0
0.5,2.5,1e-04,7,"ASC2_income",0,-0.00652940244738109,1
0.5,2.5,1e-04,7,"ASC2_child",1.2,0.560795106383673,1
0.5,2.5,1e-04,7,"ASC3_male",-0.7,-0.318382228312039,1
0.5,2.5,1e-04,7,"ASC3_age",0,0.0346731634808888,1
0.5,2.5,1e-04,7,"ASC3_income",0,-7.67992014966258e-09,0
0.5,2.5,1e-04,7,"ASC3_child",-1,-0.22108119253412,1
0.5,2.5,1e-04,7,"prot25_male",1.2,0.449304686066201,1
0.5,2.5,1e-04,7,"prot25_age",0.8,0.266037543413937,1
0.5,2.5,1e-04,7,"prot25_income",0,9.16086319070421e-09,0
0.5,2.5,1e-04,7,"prot25_child",0.7,0.21749664188121,1
0.5,2.5,1e-04,7,"prot50_male",0,-3.80887827780422e-09,0
0.5,2.5,1e-04,7,"prot50_age",-0.4,-0.150815027574879,1
0.5,2.5,1e-04,7,"prot50_income",0,-5.9572455703057e-07,0
0.5,2.5,1e-04,7,"prot50_child",0.6,0.223694661662091,1
0.5,2.5,1e-04,7,"invasive_male",0,-3.16240949966837e-09,0
0.5,2.5,1e-04,7,"invasive_age",0,5.19437362350186e-08,0
0.5,2.5,1e-04,7,"invasive_income",1.1,0.422771199889248,1
0.5,2.5,1e-04,7,"invasive_child",0,-4.38937004156408e-08,0
