"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
0.5,0.5,1e-04,"Induced","Detected",987
0.5,0.5,1e-04,"Induced","Not Detected",13
0.5,0.5,1e-04,"Not Induced","Detected",878
0.5,0.5,1e-04,"Not Induced","Not Detected",122
0.5,0.5,0.001,"Induced","Detected",987
0.5,0.5,0.001,"Induced","Not Detected",13
0.5,0.5,0.001,"Not Induced","Detected",873
0.5,0.5,0.001,"Not Induced","Not Detected",127
0.5,0.5,0.01,"Induced","Detected",986
0.5,0.5,0.01,"Induced","Not Detected",14
0.5,0.5,0.01,"Not Induced","Detected",834
0.5,0.5,0.01,"Not Induced","Not Detected",166
0.5,0.5,0.05,"Induced","Detected",977
0.5,0.5,0.05,"Induced","Not Detected",23
0.5,0.5,0.05,"Not Induced","Detected",668
0.5,0.5,0.05,"Not Induced","Not Detected",332
0.5,0.5,0.1,"Induced","Detected",969
0.5,0.5,0.1,"Induced","Not Detected",31
0.5,0.5,0.1,"Not Induced","Detected",499
0.5,0.5,0.1,"Not Induced","Not Detected",501
0.5,0.5,0.5,"Induced","Detected",810
0.5,0.5,0.5,"Induced","Not Detected",190
0.5,0.5,0.5,"Not Induced","Detected",49
0.5,0.5,0.5,"Not Induced","Not Detected",951
