"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,0.5,1e-04,"Induced","Detected",1000
1,0.5,1e-04,"Induced","Not Detected",0
1,0.5,1e-04,"Not Induced","Detected",1000
1,0.5,1e-04,"Not Induced","Not Detected",0
1,0.5,0.001,"Induced","Detected",1000
1,0.5,0.001,"Induced","Not Detected",0
1,0.5,0.001,"Not Induced","Detected",1000
1,0.5,0.001,"Not Induced","Not Detected",0
1,0.5,0.01,"Induced","Detected",997
1,0.5,0.01,"Induced","Not Detected",3
1,0.5,0.01,"Not Induced","Detected",984
1,0.5,0.01,"Not Induced","Not Detected",16
1,0.5,0.05,"Induced","Detected",985
1,0.5,0.05,"Induced","Not Detected",15
1,0.5,0.05,"Not Induced","Detected",939
1,0.5,0.05,"Not Induced","Not Detected",61
1,0.5,0.1,"Induced","Detected",960
1,0.5,0.1,"Induced","Not Detected",40
1,0.5,0.1,"Not Induced","Detected",867
1,0.5,0.1,"Not Induced","Not Detected",133
1,0.5,0.5,"Induced","Detected",835
1,0.5,0.5,"Induced","Not Detected",165
1,0.5,0.5,"Not Induced","Detected",410
1,0.5,0.5,"Not Induced","Not Detected",590
