"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,0.5,1e-04,"Induced","Detected",1000
1,0.5,1e-04,"Induced","Not Detected",0
1,0.5,1e-04,"Not Induced","Detected",1000
1,0.5,1e-04,"Not Induced","Not Detected",0
1,0.5,0.001,"Induced","Detected",1000
1,0.5,0.001,"Induced","Not Detected",0
1,0.5,0.001,"Not Induced","Detected",998
1,0.5,0.001,"Not Induced","Not Detected",2
1,0.5,0.01,"Induced","Detected",998
1,0.5,0.01,"Induced","Not Detected",2
1,0.5,0.01,"Not Induced","Detected",964
1,0.5,0.01,"Not Induced","Not Detected",36
1,0.5,0.05,"Induced","Detected",990
1,0.5,0.05,"Induced","Not Detected",10
1,0.5,0.05,"Not Induced","Detected",839
1,0.5,0.05,"Not Induced","Not Detected",161
1,0.5,0.1,"Induced","Detected",983
1,0.5,0.1,"Induced","Not Detected",17
1,0.5,0.1,"Not Induced","Detected",661
1,0.5,0.1,"Not Induced","Not Detected",339
1,0.5,0.5,"Induced","Detected",848
1,0.5,0.5,"Induced","Not Detected",152
1,0.5,0.5,"Not Induced","Detected",91
1,0.5,0.5,"Not Induced","Not Detected",909
