"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
1,1.5,1e-04,"Induced","Detected",914
1,1.5,1e-04,"Induced","Not Detected",86
1,1.5,1e-04,"Not Induced","Detected",589
1,1.5,1e-04,"Not Induced","Not Detected",411
1,1.5,0.001,"Induced","Detected",912
1,1.5,0.001,"Induced","Not Detected",88
1,1.5,0.001,"Not Induced","Detected",585
1,1.5,0.001,"Not Induced","Not Detected",415
1,1.5,0.01,"Induced","Detected",903
1,1.5,0.01,"Induced","Not Detected",97
1,1.5,0.01,"Not Induced","Detected",538
1,1.5,0.01,"Not Induced","Not Detected",462
1,1.5,0.05,"Induced","Detected",862
1,1.5,0.05,"Induced","Not Detected",138
1,1.5,0.05,"Not Induced","Detected",355
1,1.5,0.05,"Not Induced","Not Detected",645
1,1.5,0.1,"Induced","Detected",807
1,1.5,0.1,"Induced","Not Detected",193
1,1.5,0.1,"Not Induced","Detected",207
1,1.5,0.1,"Not Induced","Not Detected",793
1,1.5,0.5,"Induced","Detected",317
1,1.5,0.5,"Induced","Not Detected",683
1,1.5,0.5,"Not Induced","Detected",2
1,1.5,0.5,"Not Induced","Not Detected",998
