"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
0.5,1.5,1e-04,"Induced","Detected",929
0.5,1.5,1e-04,"Induced","Not Detected",71
0.5,1.5,1e-04,"Not Induced","Detected",681
0.5,1.5,1e-04,"Not Induced","Not Detected",319
0.5,1.5,0.001,"Induced","Detected",927
0.5,1.5,0.001,"Induced","Not Detected",73
0.5,1.5,0.001,"Not Induced","Detected",670
0.5,1.5,0.001,"Not Induced","Not Detected",330
0.5,1.5,0.01,"Induced","Detected",918
0.5,1.5,0.01,"Induced","Not Detected",82
0.5,1.5,0.01,"Not Induced","Detected",613
0.5,1.5,0.01,"Not Induced","Not Detected",387
0.5,1.5,0.05,"Induced","Detected",876
0.5,1.5,0.05,"Induced","Not Detected",124
0.5,1.5,0.05,"Not Induced","Detected",412
0.5,1.5,0.05,"Not Induced","Not Detected",588
0.5,1.5,0.1,"Induced","Detected",810
0.5,1.5,0.1,"Induced","Not Detected",190
0.5,1.5,0.1,"Not Induced","Detected",239
0.5,1.5,0.1,"Not Induced","Not Detected",761
0.5,1.5,0.5,"Induced","Detected",275
0.5,1.5,0.5,"Induced","Not Detected",725
0.5,1.5,0.5,"Not Induced","Detected",0
0.5,1.5,0.5,"Not Induced","Not Detected",1000
