"Alpha","NoiseScale","Iteration","ASC2_male","ASC2_age","ASC2_income","ASC2_child","ASC3_male","ASC3_age","ASC3_income","ASC3_child","prot25_male","prot25_age","prot25_income","prot25_child","prot50_male","prot50_age","prot50_income","prot50_child","invasive_male","invasive_age","invasive_income","invasive_child"
1,6,1,0.9,0.3,0,0,-1.1,0,0.8,0,1.2,0.7,0,1.1,0,0,-1.2,1.1,0,-0.6,0,0
1,6,2,0,0.1,0.7,-0.4,0,0.4,-0.8,0,0.5,0.8,0,0,0,0,0,0,1,-0.1,0,-0.6
1,6,3,-0.9,-0.4,0,0,-0.7,0,0,1,0,0,0,0,0.7,-0.2,-1,-0.8,0,0,-1.2,1
1,6,4,0,-0.1,0,-0.6,0,1,0,0,0,-0.5,0,0,0.1,1,0,-1,-1,-0.9,-0.3,0
1,6,5,0,0.7,-0.4,-0.3,0,0,0.9,-0.6,0.9,0,-0.3,0,0.4,0,0.5,0,0.7,0,0,0
1,6,6,0.4,0.7,0,0,0,0,0,1.2,-0.4,-0.3,0,0,0,-1.1,-0.2,-0.2,0,1,0,0.9
1,6,7,0.8,0,0,1.2,-0.7,0,0,-1,1.2,0.8,0,0.7,0,-0.4,0,0.6,0,0,1.1,0
1,6,8,0,-1.2,0,0,-0.3,0.9,0,1.2,0,-0.2,0,1.1,1.1,0,-0.2,0,0,0.7,0.3,0
1,6,9,1,0,0,-1.2,0.9,-0.6,0,-0.9,-0.3,0,0,0,-0.2,0.6,-0.7,0,0,0,-0.7,0
1,6,10,0.9,0,1.2,-0.8,0.4,-0.4,0,0,1,0,0,0,0.4,0,0,0.7,0,0.6,0,-0.7
1,6,11,1.1,-0.5,0,-0.5,0,0,-0.7,0,0,0.7,0,0,-1,0.7,0.1,1.2,0,0,-0.2,0
1,6,12,0,0.8,0,0,0.6,0.2,0,0,0,-0.9,0,0.2,-0.7,-0.6,0,0,-0.7,-1.2,-1.1,0
1,6,13,-0.7,-0.3,0,0,0,0,0,-1.1,-0.5,0,0.3,-0.3,0.9,1,-0.5,0,0,0,1,0
