"Alpha","Threshold","TrueStatus","Predicted","Count"
0.5,1e-04,"Induced","Detected",998
0.5,1e-04,"Induced","Not Detected",2
0.5,1e-04,"Not Induced","Detected",945
0.5,1e-04,"Not Induced","Not Detected",55
0.5,0.001,"Induced","Detected",994
0.5,0.001,"Induced","Not Detected",6
0.5,0.001,"Not Induced","Detected",894
0.5,0.001,"Not Induced","Not Detected",106
0.5,0.01,"Induced","Detected",989
0.5,0.01,"Induced","Not Detected",11
0.5,0.01,"Not Induced","Detected",767
0.5,0.01,"Not Induced","Not Detected",233
0.5,0.05,"Induced","Detected",972
0.5,0.05,"Induced","Not Detected",28
0.5,0.05,"Not Induced","Detected",429
0.5,0.05,"Not Induced","Not Detected",571
0.5,0.1,"Induced","Detected",953
0.5,0.1,"Induced","Not Detected",47
0.5,0.1,"Not Induced","Detected",189
0.5,0.1,"Not Induced","Not Detected",811
0.5,0.5,"Induced","Detected",599
0.5,0.5,"Induced","Not Detected",401
0.5,0.5,"Not Induced","Detected",0
0.5,0.5,"Not Induced","Not Detected",1000
