"Alpha","Iteration","ASC2_male","ASC3_age","cost_income","prot25_child","prot50_child","invasive_child"
0.5,1,-0.126108916866108,NA,NA,NA,0.850512113278377,1.64725037798231
0.5,2,-0.493021713875457,0.152359556419927,-0.75068828607064,NA,NA,NA
0.5,3,NA,0.781772064906973,NA,-0.369364011861475,-0.862204182246386,NA
0.5,4,NA,NA,NA,0.128006131330395,-0.132095502261977,0.827871957645125
0.5,5,0.700537430011155,NA,NA,NA,-2.00906933189041,0.535785157795725
0.5,6,0.00600673110427809,-1.01830584735388,NA,-1.82233200393904,NA,NA
0.5,7,0.934242239938448,NA,0.0862935470222765,NA,NA,0.765120938247818
0.5,8,0.668730109034666,0.64722355718036,1.46762746437582,NA,NA,NA
0.5,9,NA,-0.901753810508815,-0.997970018830788,NA,-1.3085505916322,NA
0.5,10,NA,NA,-1.28315346517089,NA,-0.211387368295775,-2.00270282186984
