"Alpha","NoiseScale","Threshold","Iteration","Interaction","TrueBeta","Estimate","Detected"
1,1.5,1e-04,1,"ASC2_male",0,-4.56831283026572e-09,0
1,1.5,1e-04,1,"ASC2_age",0.6,0.363354438035447,1
1,1.5,1e-04,1,"ASC2_income",0,-1.20052066228674e-08,0
1,1.5,1e-04,1,"ASC2_child",0,-1.30299007446829e-08,0
1,1.5,1e-04,1,"ASC3_male",0,4.92401684920813e-08,0
1,1.5,1e-04,1,"ASC3_age",-1,-0.626453472150805,1
1,1.5,1e-04,1,"ASC3_income",0,0.00216150436528932,1
1,1.5,1e-04,1,"ASC3_child",0.2,1.45274292803753e-07,0
1,1.5,1e-04,1,"prot25_male",0,4.18360676143453e-08,0
1,1.5,1e-04,1,"prot25_age",-1,-0.559194816585143,1
1,1.5,1e-04,1,"prot25_income",0,-0.00771269656425108,1
1,1.5,1e-04,1,"prot25_child",1.1,0.682965565643879,1
1,1.5,1e-04,1,"prot50_male",-0.2,-2.47749068239181e-09,0
1,1.5,1e-04,1,"prot50_age",0.5,0.302576993624639,1
1,1.5,1e-04,1,"prot50_income",0.6,0.289530713938878,1
1,1.5,1e-04,1,"prot50_child",0,-1.01765835522611e-07,0
1,1.5,1e-04,1,"invasive_male",-0.2,-0.0318547887104072,1
1,1.5,1e-04,1,"invasive_age",0,-3.050180323071e-07,0
1,1.5,1e-04,1,"invasive_income",-0.3,-0.188503303316679,1
1,1.5,1e-04,1,"invasive_child",0,-8.69175730032469e-09,0
1,1.5,1e-04,2,"ASC2_male",0.2,-1.57951397396816e-08,0
1,1.5,1e-04,2,"ASC2_age",0,-0.118195294357015,1
1,1.5,1e-04,2,"ASC2_income",0.2,0.147936514018825,1
1,1.5,1e-04,2,"ASC2_child",0,-0.0453709178596298,1
1,1.5,1e-04,2,"ASC3_male",-0.2,-0.175253260441318,1
1,1.5,1e-04,2,"ASC3_age",0,-0.086450702767102,1
1,1.5,1e-04,2,"ASC3_income",0.9,0.59539913211035,1
1,1.5,1e-04,2,"ASC3_child",0,-0.0281854298048967,1
1,1.5,1e-04,2,"prot25_male",0,-0.214844021184138,1
1,1.5,1e-04,2,"prot25_age",-0.4,-0.189485801052591,1
1,1.5,1e-04,2,"prot25_income",0,0.0805464477110066,1
1,1.5,1e-04,2,"prot25_child",-0.9,-0.502398826335877,1
1,1.5,1e-04,2,"prot50_male",0,-2.38033700048406e-07,0
1,1.5,1e-04,2,"prot50_age",-1,-0.575238638229853,1
1,1.5,1e-04,2,"prot50_income",0,0.0352383097082945,1
1,1.5,1e-04,2,"prot50_child",0,0.106492517488666,1
1,1.5,1e-04,2,"invasive_male",0.7,0.472245587145967,1
1,1.5,1e-04,2,"invasive_age",0,-0.0591007841846351,1
1,1.5,1e-04,2,"invasive_income",-0.2,-0.137363836991142,1
1,1.5,1e-04,2,"invasive_child",-1,-0.477360736547824,1
1,1.5,1e-04,3,"ASC2_male",0,-7.53054565378152e-09,0
1,1.5,1e-04,3,"ASC2_age",0.4,0.195510399504694,1
1,1.5,1e-04,3,"ASC2_income",-0.7,-0.437551887749397,1
1,1.5,1e-04,3,"ASC2_child",0,-0.141532034427041,1
1,1.5,1e-04,3,"ASC3_male",0,-0.0155676068525517,1
