"Feature","FP_rate","TN_rate"
"ASC2_male",0.976,0.024
"ASC2_age",0,1
"ASC2_income",0.6,0.4
"ASC2_child",0.596,0.404
"ASC3_male",0.38,0.62
"ASC3_age",1,0
"ASC3_income",0.108,0.892
"ASC3_child",0.38,0.62
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.572,0.428
"prot25_age",0,1
"prot25_income",0.652,0.348
"prot25_child",1,0
"prot50_male",0.552,0.448
"prot50_age",0,1
"prot50_income",0.532,0.468
"prot50_child",0.976,0.024
"invasive_male",0.58,0.42
"invasive_age",0,1
"invasive_income",0.76,0.24
"invasive_child",1,0
