"Feature","FP_rate","TN_rate"
"ASC2_male",0.96,0.04
"ASC2_age",0,1
"ASC2_income",0.576,0.424
"ASC2_child",0.612,0.388
"ASC3_male",0.392,0.608
"ASC3_age",1,0
"ASC3_income",0.104,0.896
"ASC3_child",0.308,0.692
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.544,0.456
"prot25_age",0,1
"prot25_income",0.692,0.308
"prot25_child",1,0
"prot50_male",0.58,0.42
"prot50_age",0,1
"prot50_income",0.5,0.5
"prot50_child",0.972,0.028
"invasive_male",0.604,0.396
"invasive_age",0,1
"invasive_income",0.744,0.256
"invasive_child",0.992,0.00800000000000001
