"Feature","FP_rate","TN_rate"
"ASC2_male",0.968,0.032
"ASC2_age",0,1
"ASC2_income",0.584,0.416
"ASC2_child",0.528,0.472
"ASC3_male",0.372,0.628
"ASC3_age",1,0
"ASC3_income",0.156,0.844
"ASC3_child",0.4,0.6
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.568,0.432
"prot25_age",0,1
"prot25_income",0.64,0.36
"prot25_child",1,0
"prot50_male",0.608,0.392
"prot50_age",0,1
"prot50_income",0.676,0.324
"prot50_child",0.98,0.02
"invasive_male",0.56,0.44
"invasive_age",0,1
"invasive_income",0.792,0.208
"invasive_child",1,0
