"Feature","FP_rate","TN_rate"
"ASC2_male",0.992,0.00800000000000001
"ASC2_age",0,1
"ASC2_income",0.608,0.392
"ASC2_child",0.632,0.368
"ASC3_male",0.436,0.564
"ASC3_age",1,0
"ASC3_income",0.196,0.804
"ASC3_child",0.452,0.548
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.624,0.376
"prot25_age",0,1
"prot25_income",0.684,0.316
"prot25_child",1,0
"prot50_male",0.544,0.456
"prot50_age",0,1
"prot50_income",0.696,0.304
"prot50_child",0.996,0.004
"invasive_male",0.568,0.432
"invasive_age",0,1
"invasive_income",0.888,0.112
"invasive_child",1,0
