"Feature","FP_rate","TN_rate"
"ASC2_male",0.924,0.076
"ASC2_age",0,1
"ASC2_income",0.724,0.276
"ASC2_child",0.616,0.384
"ASC3_male",0.348,0.652
"ASC3_age",1,0
"ASC3_income",0.484,0.516
"ASC3_child",0.292,0.708
"cost_male",0,1
"cost_age",0,1
"cost_income",0.964,0.036
"cost_child",0,1
"prot25_male",0.556,0.444
"prot25_age",0,1
"prot25_income",0.6,0.4
"prot25_child",0.836,0.164
"prot50_male",0.556,0.444
"prot50_age",0.004,0.996
"prot50_income",0.572,0.428
"prot50_child",0.644,0.356
"invasive_male",0.604,0.396
"invasive_age",0,1
"invasive_income",0.636,0.364
"invasive_child",0.776,0.224
