"Feature","FP_rate","TN_rate"
"ASC2_male",0.92,0.08
"ASC2_age",0,1
"ASC2_income",0.652,0.348
"ASC2_child",0.612,0.388
"ASC3_male",0.344,0.656
"ASC3_age",1,0
"ASC3_income",0.096,0.904
"ASC3_child",0.32,0.68
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.496,0.504
"prot25_age",0,1
"prot25_income",0.552,0.448
"prot25_child",0.96,0.04
"prot50_male",0.476,0.524
"prot50_age",0,1
"prot50_income",0.452,0.548
"prot50_child",0.82,0.18
"invasive_male",0.592,0.408
"invasive_age",0,1
"invasive_income",0.432,0.568
"invasive_child",0.964,0.036
