"Feature","FP_rate","TN_rate"
"ASC2_male",0.988,0.012
"ASC2_age",0,1
"ASC2_income",0.608,0.392
"ASC2_child",0.536,0.464
"ASC3_male",0.444,0.556
"ASC3_age",1,0
"ASC3_income",0.236,0.764
"ASC3_child",0.472,0.528
"cost_male",0,1
"cost_age",0,1
"cost_income",1,0
"cost_child",0,1
"prot25_male",0.552,0.448
"prot25_age",0,1
"prot25_income",0.684,0.316
"prot25_child",1,0
"prot50_male",0.596,0.404
"prot50_age",0,1
"prot50_income",0.772,0.228
"prot50_child",1,0
"invasive_male",0.564,0.436
"invasive_age",0,1
"invasive_income",0.944,0.056
"invasive_child",1,0
