"Alpha","NoiseScale","Threshold","TrueStatus","Predicted","Count"
0.5,1.5,1e-04,"Induced","Detected",723
0.5,1.5,1e-04,"Induced","Not Detected",277
0.5,1.5,1e-04,"Not Induced","Detected",505
0.5,1.5,1e-04,"Not Induced","Not Detected",495
0.5,1.5,0.001,"Induced","Detected",717
0.5,1.5,0.001,"Induced","Not Detected",283
0.5,1.5,0.001,"Not Induced","Detected",497
0.5,1.5,0.001,"Not Induced","Not Detected",503
0.5,1.5,0.01,"Induced","Detected",701
0.5,1.5,0.01,"Induced","Not Detected",299
0.5,1.5,0.01,"Not Induced","Detected",470
0.5,1.5,0.01,"Not Induced","Not Detected",530
0.5,1.5,0.05,"Induced","Detected",659
0.5,1.5,0.05,"Induced","Not Detected",341
0.5,1.5,0.05,"Not Induced","Detected",368
0.5,1.5,0.05,"Not Induced","Not Detected",632
0.5,1.5,0.1,"Induced","Detected",592
0.5,1.5,0.1,"Induced","Not Detected",408
0.5,1.5,0.1,"Not Induced","Detected",272
0.5,1.5,0.1,"Not Induced","Not Detected",728
0.5,1.5,0.5,"Induced","Detected",148
0.5,1.5,0.5,"Induced","Not Detected",852
0.5,1.5,0.5,"Not Induced","Detected",5
0.5,1.5,0.5,"Not Induced","Not Detected",995
